,level-1,level-2,level-3,level-4,level-5,member-1,member-2,member-3,member-4,member-5,member-6,limited-1,limited-2,limited-3,compatible-1,compatible-2,compatible-3,compatible-4,compatible-5,compatible-6,compatible-7,compatible-8,compatible-9,productive-1,syntax_role-1,syntax_role-2,syntax_role-3,syntax_role-4,syntax_role-5,syntax_role-6,special-1,special-2,paraphrase-1,paraphrase-2,paraphrase-3,paraphrase-4,paraphrase-5,etymology-1,etymology-2,etymology-3,etymology-4,animated-1,animated-2,animated-3,reference-1,reference-2,reference-3,semantic_role-1,semantic_role-2,semantic_role-3,semantic_role-4,semantic_role-5,semantic_role-6,semantic_role-7,semantic_role-8,semantic_role-9,semantic_role-10,semantic_role-11,semantic_role-12,semantic_role-13,semantic_role-14,semantic_role-15,semantic_role-16,semantic_role-17,semantic_role-18,semantic_role-19,limited_comember-1,limited_comember-2,state-1,state-2,involvement-1,involvement-2,involvement-3,involvement-4,theme_rheme-1,theme_rheme-2,theme_rheme-3,theme_rheme-4,region
ind-3,0,0,1,0,0,0,1,0,0,IRR,0,IRR,1,1,1,1,ND,ND,1,ND,ND,ND,ND,ND,1,ND,1,1,1,ND,1,1,IRR,IRR,IRR,IRR,IRR,1,0,0,0,ND,ND,1,1,1,ND,1,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,1,ND,ND,ND,1,1,1,ND,ND,ND,1,ND,ND,ND,Southeast Asia & Oceania
cmn-1,0,0,0,0,1,0,0,1,ND,IRR,IRR,1,IRR,1,1,1,1,1,IRR,1,0,0,ND,1,0,0,0,1,0,1,0,0,0,0,0,1,ND,0,0,1,ND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,ND,0,0,1,1,1,0,1,0,1,1,0,0,Southeast Asia & Oceania
cmn-2,0,0,0,0,1,0,0,1,ND,IRR,IRR,1,IRR,1,1,1,1,1,IRR,1,0,0,ND,1,1,0,1,0,1,0,0,0,0,1,0,0,ND,0,0,1,ND,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,ND,0,0,1,0,1,1,1,1,1,1,1,1,Southeast Asia & Oceania
khm-1,0,0,1,0,0,0,1,0,0,IRR,IRR,IRR,IRR,1,1,1,1,ND,ND,0,IRR,IRR,ND,1,1,ND,1,1,1,ND,0,0,0,0,1,1,ND,0,0,1,ND,0,1,1,1,1,1,0,1,1,1,ND,1,0,0,ND,1,ND,ND,ND,ND,0,0,0,ND,ND,0,0,1,1,0,0,1,1,1,1,ND,ND,Southeast Asia & Oceania
khm-2,0,0,0,0,1,0,0,1,0,IRR,IRR,IRR,IRR,1,1,1,1,ND,ND,0,IRR,IRR,ND,1,1,ND,1,0,0,ND,0,0,0,1,0,0,ND,0,0,1,ND,1,1,1,1,1,0,1,1,0,1,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,0,0,1,0,1,0,1,1,0,1,ND,ND,Southeast Asia & Oceania
khm-3,0,0,1,0,0,0,1,0,0,IRR,IRR,IRR,IRR,1,1,0,0,0,ND,0,IRR,IRR,ND,0,0,ND,0,1,1,ND,0,0,0,0,0,0,1,0,0,1,ND,0,0,1,1,0,0,0,0,1,1,ND,1,1,1,ND,ND,ND,ND,ND,ND,0,0,0,ND,ND,0,0,1,1,0,0,0,0,0,1,ND,ND,Southeast Asia & Oceania
lep-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,ND,ND,ND,IRR,0,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,0.0,0.0,1,0.0,0.0,0.0,0.0,IRR,IRR,1.0,ND,1.0,1.0,ND,1.0,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,1.0,ND,ND,Southeast Asia & Oceania
lep-2,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,ND,ND,ND,IRR,0,0,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,1.0,1.0,IRR,IRR,IRR,IRR,IRR,0.0,1.0,0.0,ND,ND,ND,1.0,1.0,ND,ND,0,0,ND,ND,ND,ND,1.0,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,Southeast Asia & Oceania
lep-3,0,0.0,0.0,0.0,1,0,0.0,1,0.0,IRR,IRR,ND,ND,0,1.0,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0,1.0,1.0,ND,ND,1.0,1,1.0,0,ND,ND,ND,ND,ND,ND,1.0,1.0,ND,ND,1,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,1.0,ND,ND,ND,ND,1,ND,ND,ND,Southeast Asia & Oceania
lep-4,0,0.0,0.0,0.0,1,1,0,0,ND,IRR,IRR,IRR,ND,ND,1.0,ND,ND,ND,1.0,ND,1.0,ND,ND,1,1,ND,1.0,1,1.0,ND,0.0,0.0,0.0,1,1,1,ND,0.0,1.0,1.0,ND,ND,ND,1.0,1.0,ND,ND,ND,ND,ND,1,ND,ND,ND,1.0,ND,ND,1.0,ND,1,1.0,ND,0.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1,ND,ND,Southeast Asia & Oceania
lep-5,0.0,0.0,1,0.0,0.0,0.0,1,0.0,ND,IRR,IRR,IRR,0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ND,1.0,1.0,ND,ND,ND,1.0,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,ND,ND,1,ND,0.0,ND,ND,1.0,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,Southeast Asia & Oceania
lep-6,0,0.0,1,0,0.0,0.0,1,0.0,ND,IRR,1,IRR,ND,ND,1.0,ND,1,ND,ND,ND,ND,ND,ND,ND,1.0,ND,1,ND,ND,ND,1,1,IRR,IRR,IRR,IRR,IRR,0.0,1.0,0,ND,1,1.0,1.0,1.0,1.0,ND,ND,ND,1,1.0,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,Southeast Asia & Oceania
lep-7,1,ND,ND,ND,ND,1,0,0.0,0.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,1.0,1.0,IRR,IRR,IRR,IRR,IRR,1.0,0.0,0.0,ND,ND,1.0,1.0,1.0,ND,ND,ND,ND,1,ND,ND,ND,1.0,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
plt-1,0,0,1,0,1,0,1,1,0,IRR,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,0,0,0,0,1,0,0,IRR,IRR,IRR,IRR,1,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
plt-2,0,0,1,1,0,0,1,1,0,0,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,0,1,0,0,0,1,0,0,1,0,ND,ND,1,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,Southeast Asia & Oceania
plt-3,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
unr-1,0,1,1,0,0,1,1,0,ND,ND,ND,IRR,1,ND,1,ND,ND,ND,1,0,0,ND,ND,ND,1,ND,1,0,0,ND,1,1,IRR,IRR,IRR,IRR,ND,1,0,0,ND,ND,1,1,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,1,ND,ND,Southeast Asia & Oceania
unr-2,0,0,1,0,0,0,1,0,ND,IRR,ND,IRR,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,0,0,0,0,1,1,ND,IRR,IRR,IRR,ND,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
pwn-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,1,1,ND,ND,1,ND,1,0,0,0,0,1,1,0,IRR,IRR,IRR,IRR,1,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,ND,1,1,ND,ND,ND,ND,ND,ND,ND,Southeast Asia & Oceania
tgl-1,0,0,0,0,1,0,0,1,0,IRR,IRR,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,IRR,IRR,IRR,IRR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,Southeast Asia & Oceania
tgl-2,0,0,0,0,1,0,0,1,0,IRR,IRR,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,IRR,IRR,IRR,IRR,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,ND,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Southeast Asia & Oceania
tgl-3,0,0,0,0,1,0,0,1,0,IRR,IRR,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,IRR,IRR,IRR,IRR,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Southeast Asia & Oceania
tha-1,0,0,1,0,0,0,1,0,ND,IRR,IRR,IRR,IRR,1,1,1,1,ND,1,0,IRR,IRR,ND,1,1,ND,1,1,1,0,1,1,IRR,IRR,IRR,IRR,ND,ND,1,ND,ND,1,1,1,1,1,1,1,1,1,0,ND,1,0,1,ND,1,1,ND,ND,1,0,0,0,1,ND,ND,ND,1,1,1,1,1,1,1,1,ND,ND,Southeast Asia & Oceania
tha-2,0,0,1,0,0,0,1,0,ND,IRR,IRR,IRR,IRR,1,1,1,1,ND,ND,0,IRR,IRR,ND,1,1,ND,1,1,1,0,1,0,IRR,IRR,IRR,IRR,ND,ND,ND,ND,ND,1,1,1,1,1,1,1,1,1,1,ND,1,1,0,ND,ND,ND,ND,ND,ND,0,0,0,0,ND,ND,ND,1,0,1,1,1,1,0,1,ND,ND,Southeast Asia & Oceania
tha-3,0,0,1,0,0,0,1,0,ND,IRR,IRR,IRR,IRR,1,1,1,1,ND,ND,0,IRR,IRR,ND,1,1,ND,1,1,1,0,1,1,IRR,IRR,IRR,IRR,ND,ND,1,ND,ND,1,1,1,1,1,1,1,1,1,1,ND,1,0,1,ND,ND,ND,ND,ND,ND,0,0,0,ND,ND,ND,ND,1,1,1,1,1,1,1,1,ND,ND,Southeast Asia & Oceania
bod-1,1,0,0,0,0,1,0,0,0,1,IRR,IRR,IRR,0,1,0,0,0,0,0,ND,ND,ND,0,1,ND,1,1,1,0,1,0,0,0,0,0,0,0,1,1,ND,0,1,1,1,0,0,0,0,1,1,1,1,1,1,ND,ND,1,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,0,1,0,ND,ND,Southeast Asia & Oceania
bod-2,0,0,0,0,1,0,0,1,0,IRR,IRR,IRR,1,ND,1,ND,ND,ND,ND,0,0,0,ND,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,ND,1,1,1,1,ND,1,0,1,1,1,1,1,1,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,1,ND,IRR,IRR,1,1,ND,ND,Southeast Asia & Oceania
bod-3,0,0,0,0,1,0,0,1,0,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,1,1,1,0,1,ND,1,0,0,0,0,0,0,0,1,1,ND,1,1,1,1,ND,1,1,1,1,1,1,ND,1,1,ND,ND,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,1,1,1,ND,1,1,ND,1,Southeast Asia & Oceania
bod-4,0,0,0,0,1,0,0,1,0,IRR,IRR,IRR,ND,ND,1,1,1,ND,ND,ND,ND,ND,ND,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,1,ND,ND,ND,Southeast Asia & Oceania
cha-1,0,0,1,0,0,0,1,0,0,IRR,ND,ND,1,1,1,ND,1,ND,1,1,ND,ND,ND,1,1,ND,1,1,1,ND,1,1,IRR,IRR,IRR,IRR,IRR,1,0,0,0,1,1,1,1,1,ND,1,ND,1,ND,1,ND,ND,1,ND,ND,ND,ND,1,1,ND,ND,ND,1,1,ND,ND,1,1,1,ND,ND,ND,1,1,ND,ND,Southeast Asia & Oceania
aau-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,0,1,1,0,0,0,0,0,1,0,0,0,0,ND,ND,1,1,1,ND,ND,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,1,1,1,ND,ND,Australia & New Guinea
aau-2,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,1,0,ND,0,0,0,0,0,0,0,0,0,0,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,Australia & New Guinea
abz-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,IRR,IRR,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,0.0,0.0,0.0,ND,1.0,ND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,IRR,IRR,IRR,IRR,1.0,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1,ND,ND,Australia & New Guinea
aey-1,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,ND,ND,IRR,ND,1,1.0,1.0,1.0,ND,ND,ND,1.0,ND,ND,ND,1.0,ND,ND,ND,1,ND,0.0,0.0,1.0,0.0,1,1,ND,ND,1.0,1.0,ND,1.0,1.0,1.0,1.0,1.0,ND,1.0,1.0,1,1.0,ND,ND,ND,ND,ND,ND,1.0,1,ND,ND,0.0,0.0,0.0,ND,1.0,ND,ND,1.0,ND,1.0,ND,1,ND,ND,1.0,ND,ND,Australia & New Guinea
cns-1,0.0,0.0,0.0,0.0,1,0.0,0,ND,1,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,1.0,1.0,1.0,ND,ND,1,ND,1,ND,1.0,ND,0.0,0.0,0,1,1,1,ND,ND,1,ND,ND,ND,ND,1.0,ND,1,1,ND,ND,ND,1,1,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1.0,ND,ND,Australia & New Guinea
cns-2,0.0,0.0,ND,ND,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,1,1,1,1.0,1.0,ND,1.0,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1.0,ND,ND,Australia & New Guinea
wra-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,IRR,1.0,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,1.0,IRR,IRR,IRR,IRR,IRR,ND,0,ND,ND,1.0,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,1.0,1,ND,ND,ND,1,ND,ND,Australia & New Guinea
mcc-1,0,0,1,0,0,0,1,0,0,IRR,ND,1,1,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,1,1,0,0,0,0,0,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,1,ND,ND,ND,Australia & New Guinea
ape-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,0,0,0,0,1,1,0,IRR,IRR,IRR,IRR,1,ND,ND,1,0,0,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Australia & New Guinea
wmb-1,1,0,0,0,0,1,0,0,ND,1,IRR,1,IRR,1,1,ND,ND,ND,ND,1,ND,1,ND,1,1,ND,ND,1,1,1,1,1,0,0,0,0,ND,ND,ND,0,ND,1,1,1,1,ND,ND,ND,ND,1,1,ND,1,1,ND,1,ND,1,ND,1,ND,ND,ND,ND,1,1,ND,ND,1,1,ND,ND,ND,ND,1,1,1,ND,Australia & New Guinea
dgz-1,0,0,1,0,0,0,1,0,ND,IRR,0,IRR,ND,ND,1,ND,ND,ND,1,ND,ND,1,ND,ND,ND,ND,ND,1,ND,ND,0,0,0,0,1,1,ND,IRR,IRR,IRR,IRR,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,Australia & New Guinea
dgz-2,0,0,1,0,0,0,1,0,ND,IRR,1,IRR,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,1,1,IRR,IRR,IRR,IRR,IRR,ND,ND,0,1,1,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,ND,1,0,ND,ND,1,ND,ND,ND,Australia & New Guinea
yee-1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,IRR,IRR,IRR,IRR,IRR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ND,1,1,0.0,0,1,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,ND,ND,ND,ND,ND,IRR,IRR,IRR,IRR,IRR,IRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,ND,IRR,ND,1.0,1,IRR,IRR,IRR,IRR,ND,ND,ND,ND,Australia & New Guinea
yee-2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,ND,IRR,IRR,IRR,IRR,IRR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ND,1.0,0.0,1,0.0,0.0,0.0,1,1,ND,0.0,0.0,0.0,0.0,IRR,IRR,IRR,ND,IRR,IRR,IRR,IRR,IRR,IRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,ND,IRR,ND,1.0,0,IRR,IRR,IRR,IRR,ND,ND,ND,ND,Australia & New Guinea
gyd-1,0.0,1.0,0,0,0.0,1,0,0,ND,1.0,1.0,ND,1.0,1.0,1.0,ND,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,1,1,1.0,1,1.0,0,0,1,0,0,1,ND,ND,1,ND,1.0,1.0,1.0,1.0,1.0,1.0,ND,0,0,1.0,1.0,ND,1,1.0,ND,ND,ND,1.0,1,1.0,1.0,1,ND,ND,1.0,1.0,ND,ND,1.0,1,ND,ND,1,ND,1.0,ND,ND,ND,Australia & New Guinea
kih-1,0,0,1,0,0,0,1,0,0,0,0,IRR,ND,1,1,ND,1,1,ND,0,0,0,1,1,1,ND,1,1,1,1,0,0,0,0,1,1,0,IRR,IRR,IRR,1,1,1,1,1,1,ND,1,1,1,1,ND,ND,ND,1,ND,1,ND,ND,1,1,ND,ND,ND,0,1,ND,ND,1,1,ND,1,1,ND,1,1,ND,ND,Australia & New Guinea
gia-1,1,0,0,0,0,1,0,0,ND,1,0,0,1,ND,1,ND,ND,ND,1,ND,ND,0,ND,1,1,ND,1,1,1,ND,0,0,1,0,0,1,0,IRR,IRR,IRR,1,1,ND,1,1,1,ND,1,1,1,1,1,1,1,1,1,1,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,1,1,ND,ND,1,ND,ND,1,ND,ND,Australia & New Guinea
gni-1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,ND,1.0,ND,IRR,ND,ND,1.0,0.0,0.0,ND,ND,1.0,ND,1.0,1.0,1,1.0,ND,ND,1.0,1.0,ND,0.0,0.0,0.0,0.0,1.0,1,1,IRR,IRR,IRR,IRR,1.0,ND,1.0,1.0,ND,ND,0,ND,ND,1.0,ND,1.0,ND,ND,ND,1.0,ND,1.0,ND,ND,ND,ND,ND,ND,1,ND,ND,1.0,1,IRR,IRR,ND,ND,ND,1.0,ND,ND,Australia & New Guinea
gni-2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,ND,ND,IRR,IRR,ND,ND,1.0,ND,ND,ND,0,0.0,ND,ND,ND,0.0,ND,ND,1.0,ND,0.0,ND,1.0,1.0,IRR,IRR,IRR,IRR,IRR,ND,ND,ND,ND,ND,ND,1.0,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,0.0,1.0,ND,ND,1.0,ND,ND,ND,ND,ND,1.0,1,ND,ND,Australia & New Guinea
lmc-1,0,0,1,0,0,0,1,0,0,IRR,1,1,1,ND,1,ND,ND,ND,ND,ND,1,1,ND,1,1,ND,1,ND,1,ND,0,0,0,0,1,1,ND,0,1,0,ND,1,1,1,1,ND,ND,ND,ND,ND,1,ND,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Australia & New Guinea
mpb-1,0,0,0,0,1,0,1,0,0,IRR,0,1,1,1,1,ND,ND,ND,1,1,ND,ND,ND,1,ND,ND,1,ND,1,ND,0,0,0,1,1,1,ND,ND,ND,ND,ND,1,ND,1,1,ND,ND,1,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,1,1,ND,ND,1,ND,ND,Australia & New Guinea
vma-1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ND,IRR,0,0.0,1.0,ND,ND,ND,1,ND,1,1,ND,ND,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,ND,ND,ND,ND,1.0,ND,1.0,1.0,1.0,1,1,0,1.0,1.0,1,1.0,1.0,1.0,1,ND,ND,1.0,1.0,1.0,1.0,ND,ND,ND,ND,ND,ND,ND,1.0,1,ND,ND,1.0,ND,ND,1.0,ND,ND,Australia & New Guinea
kbv-1,0,0,1,0,0,0,1,0,ND,IRR,1,ND,IRR,ND,1,ND,ND,ND,1,0,ND,ND,ND,1,ND,ND,ND,1,1,ND,0,0,0,0,1,1,ND,IRR,IRR,IRR,IRR,1,ND,1,1,ND,ND,ND,ND,1,ND,ND,1,1,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Australia & New Guinea
mpt-1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ND,ND,IRR,0,0.0,1.0,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1.0,0,1,0,1.0,0,0.0,0.0,0.0,0.0,ND,ND,1,0.0,ND,ND,ND,1.0,1.0,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,1.0,ND,ND,Australia & New Guinea
mtj-1,0,0,1,0,0,0,1,0,0,IRR,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,0,0,0,0,0,0,1,IRR,IRR,IRR,IRR,1,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,Australia & New Guinea
nuy-1,0,0,0,0,0,0,0,1,0,IRR,IRR,1,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,ND,1,0,0,0,0,1,1,1,0,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Australia & New Guinea
opm-1,0,0,1,0,0,0,1,0,ND,IRR,1,IRR,1,1,1,ND,ND,ND,1,0,ND,IRR,ND,1,ND,ND,ND,1,1,ND,0,0,ND,0,1,1,ND,IRR,IRR,IRR,IRR,1,ND,1,1,ND,ND,ND,ND,ND,ND,1,1,ND,1,ND,ND,1,ND,1,1,ND,ND,ND,ND,1,ND,ND,1,1,ND,ND,ND,ND,1,1,ND,ND,Australia & New Guinea
bcj-1,1,0,0,0,0,1,0,0,0,ND,ND,IRR,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,1,1,ND,1,1,0,0,0,0,ND,ND,ND,0,ND,ND,1,1,1,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,Australia & New Guinea
